Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
42,1.000001,1.000006,1.000000,1.000001,1.000000,11.248329,11.756791,0.999998,0.999997,0.999997,0.999997,100.000000,
43,1.000001,1.000006,1.000000,1.000001,1.000000,11.248329,11.248329,0.999998,0.999997,0.999997,0.999997,100.000000,
44,1.000001,1.000006,1.000000,1.000001,1.000000,11.353402,11.353402,0.999998,0.999997,0.999997,0.999997,100.000000,
45,1.000001,1.000006,1.000000,1.000001,1.000000,13.486990,13.486990,0.999998,0.999997,0.999997,0.999997,100.000000,
46,1.000001,1.000006,1.000000,1.000001,1.000000,15.106504,15.106504,0.999998,0.999997,0.999997,0.999997,100.000000,
47,1.000001,1.000006,1.000000,1.000001,1.000000,15.266808,15.689484,0.999998,0.999997,0.999997,0.999997,100.000000,
48,1.000001,1.000007,1.000000,1.000001,1.000000,15.059362,15.266808,0.999998,0.999997,0.999997,0.999997,100.000000,
49,1.000001,1.000006,1.000000,1.000001,1.000000,13.001718,15.059362,0.999998,0.999997,0.999997,0.999997,100.000000,
50,1.000001,1.000006,1.000000,1.000001,1.000000,10.427822,13.001718,0.999998,0.999997,0.999997,0.999997,100.000000,
51,1.000001,1.000006,1.000000,1.000001,1.000000,9.045518,10.427822,0.999998,0.999997,0.999997,0.999997,100.000000,
52,1.000001,1.000007,1.000000,1.000001,1.000000,9.045518,9.045518,0.999998,0.999997,0.999997,0.999997,100.000000,
53,1.000001,1.000007,1.000000,1.000000,1.000000,9.119451,9.280978,0.999998,0.999997,0.999997,0.999997,100.000000,
54,1.000001,1.000007,1.000000,1.000001,1.000000,9.119451,9.119451,0.999998,0.999997,0.999997,0.999997,100.000000,
55,1.000001,1.000006,1.000000,1.000001,1.000000,10.372049,10.372049,0.999998,0.999997,0.999997,0.999997,100.000000,
56,1.000001,1.000006,1.000000,1.000000,1.000000,11.968899,11.968899,0.999998,0.999997,0.999997,0.999997,100.000000,
57,1.000001,1.000006,1.000000,1.000001,1.000000,13.626693,13.626693,0.999998,0.999997,0.999997,0.999997,100.000000,
58,1.000001,1.000006,1.000000,1.000000,1.000000,15.271870,15.271870,0.999998,0.999997,0.999997,0.999997,100.000000,
59,1.000001,1.000005,1.000000,1.000001,1.000000,14.172134,15.712661,0.999998,0.999997,0.999997,0.999997,100.000000,
60,1.000001,1.000006,1.000000,1.000001,1.000000,13.121509,14.172134,0.999998,0.999997,0.999997,0.999997,100.000000,
61,1.000001,1.000006,1.000000,1.000000,1.000000,12.885811,13.121509,0.999998,0.999997,0.999997,0.999997,100.000000,
62,1.000001,1.000006,1.000000,1.000001,1.000000,11.418294,12.885811,0.999998,0.999997,0.999997,0.999997,100.000000,
63,1.000001,1.000006,1.000000,1.000000,1.000000,10.174232,11.418294,0.999998,0.999997,0.999997,0.999997,100.000000,
64,1.000001,1.000007,1.000000,1.000001,1.000000,8.760140,10.174232,0.999998,0.999997,0.999997,0.999997,100.000000,
65,1.000001,1.000007,1.000000,1.000000,1.000000,8.760140,8.760140,0.999998,0.999997,0.999997,0.999997,100.000000,
66,1.000001,1.000007,1.000000,1.000000,1.000000,11.708633,11.708633,0.999998,0.999997,0.999997,0.999997,100.000000,
67,1.000001,1.000007,1.000000,1.000000,1.000000,14.008889,14.008889,0.999998,0.999997,0.999997,0.999997,100.000000,
68,1.000001,1.000007,1.000000,1.000001,1.000000,14.113803,14.113803,0.999998,0.999997,0.999997,0.999997,100.000000,
69,1.000001,1.000007,1.000000,1.000001,1.000000,13.809734,15.067461,0.999998,0.999997,0.999997,0.999997,100.000000,
70,1.000001,1.000007,1.000000,1.000001,1.000000,13.467587,13.809734,0.999998,0.999997,0.999997,0.999997,100.000000,
71,1.000001,1.000007,1.000000,1.000001,1.000000,12.704472,13.467587,0.999998,0.999997,0.999997,0.999997,100.000000,
72,1.000001,1.000007,1.000000,1.000000,1.000000,12.208082,12.704472,0.999998,0.999997,0.999997,0.999997,100.000000,
73,1.000001,1.000007,1.000000,1.000000,1.000000,11.311402,12.208082,0.999998,0.999997,0.999997,0.999997,100.000000,
74,1.000001,1.000007,1.000000,1.000000,1.000000,11.311402,11.311402,0.999998,0.999998,0.999997,0.999997,100.000000,
75,1.000001,1.000007,1.000000,1.000001,1.000000,11.566497,11.609216,0.999998,0.999998,0.999997,0.999997,100.000000,
76,1.000001,1.000007,1.000000,1.000000,1.000000,11.315835,11.566497,0.999998,0.999998,0.999997,0.999997,100.000000,
77,1.000001,1.000007,1.000000,1.000001,1.000000,11.315835,11.315835,0.999998,0.999998,0.999997,0.999997,100.000000,
78,1.000001,1.000007,1.000000,1.000000,1.000000,11.837075,11.852694,0.999998,0.999998,0.999998,0.999998,100.000000,
79,1.000001,1.000007,1.000000,1.000000,1.000000,11.558048,11.837075,0.999998,0.999998,0.999998,0.999997,100.000000,
80,1.000001,1.000007,1.000000,1.000000,1.000000,11.558048,11.558048,0.999998,0.999998,0.999998,0.999998,100.000000,
81,1.000001,1.000006,1.000000,1.000000,1.000000,12.578941,12.578941,0.999998,0.999998,0.999997,0.999998,100.000000,
82,1.000001,1.000006,1.000000,1.000000,1.000000,11.902086,13.232764,0.999998,0.999998,0.999998,0.999997,100.000000,
83,1.000001,1.000007,1.000000,1.000000,1.000000,10.739122,11.902086,0.999998,0.999998,0.999998,0.999998,100.000000,
84,1.000001,1.000007,1.000000,1.000000,1.000000,9.048212,10.739122,0.999999,0.999998,0.999998,0.999998,100.000000,
85,1.000001,1.000007,1.000000,1.000000,1.000000,8.529950,9.048212,0.999999,0.999998,0.999998,0.999998,100.000000,
86,1.000001,1.000007,1.000000,1.000000,1.000000,8.529950,8.529950,0.999998,0.999998,0.999998,0.999997,100.000000,
87,1.000001,1.000007,1.000000,1.000001,1.000000,10.206171,11.282732,0.999998,0.999998,0.999998,0.999998,100.000000,
88,1.000001,1.000007,1.000000,1.000000,1.000000,10.106383,10.206171,0.999999,0.999998,0.999998,0.999997,100.000000,
89,1.000001,1.000007,1.000000,1.000001,1.000001,8.946566,10.106383,0.999999,0.999998,0.999998,0.999998,100.000000,
90,1.000001,1.000007,1.000000,1.000000,1.000000,8.928449,8.946566,0.999999,0.999998,0.999998,0.999998,100.000000,
91,1.000001,1.000007,1.000000,1.000001,1.000000,8.928449,8.928449,0.999999,0.999998,0.999998,0.999998,100.000000,
92,1.000001,1.000007,1.000000,1.000001,1.000000,9.311628,9.311628,0.999999,0.999998,0.999998,0.999998,100.000000,
93,1.000001,1.000007,1.000000,1.000000,1.000001,11.056096,11.056096,0.999999,0.999998,0.999998,0.999998,100.000000,
94,1.000001,1.000007,1.000000,1.000000,1.000000,12.820787,12.820787,0.999999,0.999998,0.999998,0.999998,100.000000,
95,1.000001,1.000006,1.000000,1.000000,1.000000,13.073092,13.073092,0.999999,0.999998,0.999998,0.999998,100.000000,
96,1.000001,1.000007,1.000000,1.000000,1.000000,13.950116,13.950116,0.999999,0.999998,0.999998,0.999998,100.000000,
97,1.000001,1.000006,1.000000,1.000001,1.000000,13.723716,14.293110,0.999999,0.999998,0.999998,0.999998,100.000000,
98,1.000001,1.000007,1.000000,1.000000,1.000000,11.713773,13.723716,0.999999,0.999998,0.999998,0.999998,100.000000,
99,1.000001,1.000007,1.000000,1.000001,1.000000,11.713773,11.713773,0.999999,0.999998,0.999998,0.999998,100.000000,
