Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
44,0.358198,0.851924,0.502553,0.295637,0.216825,12.820026,12.820026,0.056052,0.084138,0.094529,0.097936,3.812115,
45,0.361870,0.855881,0.502201,0.287003,0.227181,13.085891,13.085891,0.056880,0.085689,0.096527,0.100125,3.963169,
46,0.365289,0.856775,0.501368,0.294732,0.232043,13.907884,13.907884,0.058091,0.087859,0.098549,0.101278,4.402877,
47,0.386505,0.861161,0.522560,0.326498,0.251938,13.744633,14.254530,0.059153,0.088683,0.099335,0.102421,5.382899,
48,0.364717,0.851889,0.507667,0.313450,0.223933,11.742730,13.744633,0.058684,0.089194,0.099956,0.103707,3.002088,
49,0.373078,0.848468,0.509267,0.320346,0.241198,11.345736,11.742730,0.059569,0.089466,0.100071,0.102408,3.225771,
50,0.355399,0.848082,0.504703,0.297686,0.217991,11.345736,11.345736,0.059036,0.088418,0.098044,0.099616,2.465709,
51,0.358147,0.856575,0.505756,0.287787,0.232716,11.855727,12.004169,0.058769,0.087764,0.097971,0.100018,2.915274,
52,0.367881,0.848891,0.485456,0.308215,0.247587,11.672283,11.855727,0.057244,0.085996,0.095826,0.097135,3.551349,
53,0.362107,0.849839,0.495624,0.289360,0.247374,11.533393,11.672283,0.056594,0.085104,0.094889,0.097650,3.248318,
54,0.374584,0.843243,0.502187,0.294409,0.266342,11.533393,11.533393,0.055162,0.086883,0.097707,0.099455,3.720782,
55,0.374364,0.859045,0.531020,0.321198,0.224454,12.515998,12.840932,0.054239,0.085369,0.096556,0.099416,4.374043,
56,0.435460,0.873405,0.567236,0.329462,0.330495,11.832799,12.515998,0.052599,0.082570,0.093516,0.095787,7.922077,
57,0.417688,0.882760,0.575957,0.342129,0.270288,11.832799,11.832799,0.053458,0.084169,0.095369,0.097103,6.643181,
58,0.451431,0.886407,0.599593,0.392441,0.291935,12.061483,12.061483,0.051700,0.082715,0.094015,0.095761,9.083129,
59,0.464422,0.902721,0.636833,0.427456,0.277360,12.449661,12.449661,0.054298,0.085419,0.095925,0.095820,9.961489,
60,0.450560,0.902353,0.633651,0.389490,0.280549,12.672943,12.672943,0.056344,0.087950,0.098684,0.098736,8.879288,
61,0.431822,0.901539,0.631520,0.368031,0.266135,12.854864,12.854864,0.061947,0.095656,0.105253,0.104680,7.027591,
62,0.437729,0.891181,0.609212,0.378305,0.294807,14.212777,14.212777,0.069368,0.104690,0.114446,0.113404,7.305374,
63,0.396421,0.889290,0.595943,0.353183,0.230685,15.343727,15.343727,0.082134,0.117938,0.127797,0.125709,4.025086,
64,0.354281,0.882309,0.562525,0.310085,0.195406,15.883575,15.883575,0.095808,0.131416,0.139517,0.136733,0.611243,
65,0.344242,0.862941,0.537260,0.294495,0.201688,14.908421,16.792664,0.116409,0.146422,0.152565,0.148898,0.000000,
66,0.327984,0.859336,0.509613,0.261975,0.206275,13.058709,14.908421,0.116035,0.144637,0.151353,0.149002,0.000000,
67,0.312617,0.853061,0.490936,0.255658,0.187807,13.058709,13.058709,0.109216,0.134991,0.140889,0.139508,0.000000,
68,0.308935,0.854066,0.508093,0.255000,0.180849,13.896214,13.896214,0.107010,0.132783,0.138904,0.137939,0.000000,
69,0.331068,0.853580,0.502808,0.263691,0.218948,13.857959,14.209148,0.105177,0.130633,0.136246,0.133289,0.000000,
70,0.328858,0.861293,0.512821,0.272643,0.205554,13.857959,13.857959,0.104859,0.129991,0.136022,0.133738,0.000000,
71,0.351665,0.868709,0.539811,0.291976,0.224503,16.550272,16.550272,0.104694,0.129177,0.134525,0.131150,1.125856,
72,0.370774,0.869162,0.547666,0.338128,0.229512,17.728464,18.179729,0.104439,0.129630,0.134935,0.131532,2.931133,
73,0.388403,0.868776,0.572360,0.324269,0.261645,17.728464,17.728464,0.106743,0.132186,0.137061,0.133025,3.751378,
74,0.428925,0.871785,0.551919,0.329061,0.348730,16.882359,17.898512,0.111171,0.136879,0.141574,0.137665,5.355996,
75,0.356831,0.868191,0.548318,0.303093,0.227960,15.873387,16.882359,0.115057,0.141596,0.147244,0.144632,0.000000,
76,0.353512,0.869105,0.535110,0.302171,0.228381,15.873387,15.873387,0.119178,0.145700,0.151261,0.148189,0.000000,
77,0.351668,0.866930,0.527564,0.295232,0.229921,15.880313,15.880313,0.117989,0.143850,0.149579,0.146874,0.000000,
78,0.364500,0.881754,0.530487,0.289744,0.258240,18.274643,18.274643,0.116845,0.142250,0.147595,0.143854,1.679594,
79,0.348086,0.886329,0.566066,0.282448,0.218071,20.034584,20.034584,0.116070,0.140675,0.145426,0.141658,2.136474,
80,0.365728,0.896338,0.578013,0.322651,0.223546,21.849457,21.849457,0.113497,0.137420,0.141236,0.137097,4.767856,
81,0.374029,0.895841,0.585826,0.343148,0.218571,23.528370,23.528370,0.109684,0.134205,0.138552,0.134186,6.759417,
82,0.374206,0.896188,0.587372,0.339197,0.219289,25.635128,25.635128,0.103633,0.127277,0.131304,0.126931,8.975739,
83,0.405191,0.900492,0.612625,0.337666,0.272358,27.289349,27.289349,0.103607,0.129365,0.133735,0.129788,11.904395,
84,0.426344,0.916517,0.629756,0.370664,0.283278,28.110838,28.110838,0.097144,0.121832,0.126447,0.122396,14.530271,
85,0.395700,0.915527,0.622424,0.332865,0.243861,28.991835,28.991835,0.089681,0.113997,0.119013,0.116103,13.928073,
86,0.417814,0.915970,0.639469,0.365637,0.268934,29.974304,30.089680,0.084375,0.108949,0.114089,0.112002,16.463425,
87,0.434111,0.920892,0.634000,0.383393,0.281254,28.564302,29.974304,0.080927,0.106593,0.111940,0.108583,16.680849,
88,0.423819,0.924995,0.668087,0.395201,0.245679,28.564302,28.564302,0.071697,0.096355,0.101984,0.099719,16.900234,
89,0.408537,0.919723,0.637366,0.347437,0.250857,30.564432,30.564432,0.070266,0.093598,0.098863,0.096211,17.687861,
90,0.398534,0.923283,0.647054,0.334469,0.237325,27.992641,31.304380,0.073734,0.097738,0.102682,0.100022,14.834670,
91,0.400399,0.917211,0.649100,0.352556,0.241612,24.154417,27.992641,0.071438,0.094404,0.099472,0.096997,12.513785,
92,0.414448,0.919141,0.628733,0.380785,0.262643,21.388000,24.154417,0.070740,0.093385,0.097808,0.095335,11.612952,
93,0.407505,0.913993,0.632456,0.353133,0.265891,21.388000,21.388000,0.070174,0.092150,0.096730,0.094766,11.288325,
94,0.421361,0.915430,0.633913,0.358427,0.274739,23.073217,23.073217,0.076077,0.099294,0.103545,0.100541,12.632928,
95,0.424785,0.912316,0.634782,0.359581,0.278565,24.639029,24.639029,0.080389,0.105426,0.110535,0.107548,13.346907,
96,0.414343,0.916084,0.619666,0.343894,0.257236,22.431519,26.347418,0.094937,0.123245,0.129788,0.126526,9.428922,
97,0.426544,0.916536,0.635735,0.337518,0.283832,21.995892,22.431519,0.099209,0.126004,0.131167,0.126922,9.717444,
98,0.435181,0.910546,0.644860,0.365739,0.282791,21.091112,21.995892,0.095806,0.123169,0.128599,0.125537,9.913815,
99,0.416185,0.907781,0.616118,0.350672,0.259146,21.091112,21.091112,0.097139,0.126595,0.133497,0.130756,8.286450,
