Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.377853,0.853422,0.517029,0.306690,0.235939,0.000000,0.000000,0.068577,0.100965,0.108919,0.107237,0.000000,
1,0.376966,0.854141,0.521996,0.301104,0.231374,9.029384,10.418808,0.064350,0.099909,0.109785,0.108883,1.203777,
2,0.370336,0.852434,0.516897,0.304401,0.220923,9.029384,9.029384,0.067424,0.103725,0.114163,0.114029,0.387520,
3,0.352942,0.848877,0.507653,0.289081,0.197699,9.112414,9.222415,0.065708,0.100546,0.110280,0.109798,0.000000,
4,0.389846,0.843795,0.506137,0.304707,0.270988,9.112414,9.112414,0.066391,0.101457,0.111489,0.111852,1.761028,
5,0.387528,0.859931,0.498865,0.328404,0.247620,10.387498,10.387498,0.068876,0.103523,0.113715,0.114239,2.065583,
6,0.371194,0.866222,0.506845,0.338649,0.208675,11.958532,11.958532,0.072054,0.106582,0.116534,0.115394,1.715425,
7,0.372410,0.870867,0.509843,0.304622,0.229698,13.604053,13.604053,0.071644,0.105974,0.115595,0.114742,2.802007,
8,0.382902,0.878375,0.527028,0.329248,0.232649,15.280694,15.280694,0.069410,0.102954,0.112352,0.111626,4.717250,
9,0.373499,0.880026,0.522657,0.316772,0.224076,14.131907,15.700911,0.064865,0.096309,0.105397,0.105717,4.186732,
10,0.364228,0.872472,0.550025,0.295184,0.210012,13.084847,14.131907,0.062989,0.094464,0.103802,0.103861,3.274868,
11,0.368651,0.873556,0.527601,0.296135,0.222405,12.911609,13.084847,0.064775,0.096454,0.105150,0.103509,3.254264,
12,0.372234,0.858038,0.506175,0.293986,0.237985,11.459850,12.911609,0.061789,0.094527,0.104130,0.103892,2.802890,
13,0.383375,0.855407,0.497977,0.291735,0.268421,10.184764,11.459850,0.062602,0.095007,0.104057,0.102960,2.710214,
14,0.368002,0.843770,0.494734,0.307809,0.226811,8.774423,10.184764,0.061842,0.094373,0.103693,0.102493,1.207791,
15,0.370553,0.845637,0.484937,0.316325,0.231579,8.774423,8.774423,0.063101,0.095622,0.104719,0.103827,1.205981,
16,0.353582,0.843646,0.497747,0.282391,0.206587,11.716671,11.716671,0.065149,0.097765,0.106824,0.105089,1.644030,
17,0.364696,0.842629,0.496292,0.293523,0.227827,14.011171,14.011171,0.066905,0.099704,0.108516,0.106691,3.328436,
18,0.352737,0.839915,0.483098,0.281967,0.213627,14.109722,14.109722,0.065381,0.097712,0.106879,0.106300,2.928904,
19,0.349912,0.845280,0.489600,0.279393,0.207560,13.804071,15.067284,0.066107,0.098899,0.108528,0.107431,2.467869,
20,0.356705,0.843547,0.488347,0.290643,0.214023,13.466832,13.804071,0.067368,0.100490,0.109505,0.108060,2.489872,
21,0.352206,0.843662,0.491396,0.282992,0.216468,12.646693,13.466832,0.069026,0.100940,0.110149,0.108690,1.714740,
22,0.356284,0.843276,0.491546,0.281935,0.224262,12.163758,12.646693,0.068710,0.100829,0.110101,0.110033,1.645644,
23,0.367122,0.846296,0.490590,0.277461,0.244418,11.352804,12.163758,0.066919,0.097472,0.106154,0.105388,2.163603,
24,0.353979,0.838578,0.490399,0.299610,0.216181,11.352804,11.352804,0.063301,0.092988,0.101112,0.100221,1.996984,
25,0.374897,0.846131,0.494267,0.321915,0.240053,11.570711,11.640911,0.064787,0.095113,0.103265,0.102767,2.983770,
26,0.365812,0.842125,0.508943,0.300527,0.225089,11.318935,11.570711,0.064836,0.095917,0.105435,0.106022,2.194729,
27,0.385658,0.847361,0.498673,0.294822,0.275620,11.318935,11.318935,0.065375,0.096316,0.105325,0.105810,3.264959,
28,0.351092,0.846452,0.504829,0.281508,0.211345,11.843215,11.849521,0.063118,0.092255,0.100830,0.100225,2.165060,
29,0.357410,0.842573,0.497861,0.299534,0.223214,11.557499,11.843215,0.062892,0.092203,0.100715,0.100395,2.339213,
30,0.354787,0.840257,0.490564,0.284074,0.224355,11.557499,11.557499,0.062907,0.094142,0.104106,0.104495,1.930280,
31,0.357542,0.852226,0.493154,0.288559,0.223983,12.581529,12.581529,0.064198,0.095017,0.104888,0.106137,2.524735,
32,0.355130,0.848502,0.488591,0.283609,0.222909,11.908172,13.231645,0.066850,0.099179,0.109967,0.111317,1.536643,
33,0.350934,0.846206,0.480474,0.278869,0.222737,10.678267,11.908172,0.066867,0.098717,0.109970,0.112451,0.657685,
34,0.351231,0.838190,0.479616,0.277348,0.220525,8.994265,10.678267,0.066588,0.099247,0.110848,0.113891,0.000000,
35,0.354066,0.841085,0.482846,0.286929,0.219010,8.569492,8.994265,0.066051,0.098292,0.109509,0.111765,0.000000,
36,0.369780,0.837222,0.497123,0.302067,0.235091,8.569492,8.569492,0.062740,0.097364,0.109888,0.113208,0.663600,
37,0.365542,0.845020,0.489767,0.290493,0.237981,10.225323,11.326923,0.061902,0.094110,0.105232,0.107278,1.713487,
38,0.372094,0.840464,0.499675,0.302820,0.241648,10.116857,10.225323,0.059601,0.091692,0.103470,0.107583,2.212791,
39,0.352740,0.838192,0.485628,0.291679,0.212514,8.959321,10.116857,0.057624,0.088505,0.100060,0.103085,0.988135,
40,0.362586,0.838738,0.494043,0.298294,0.226883,8.933313,8.959321,0.057448,0.087828,0.099040,0.102388,1.557184,
41,0.374194,0.841064,0.479989,0.303477,0.252489,8.933313,8.933313,0.058035,0.087747,0.098174,0.100864,2.215468,
42,0.362097,0.834849,0.482559,0.284306,0.237459,9.310340,9.310340,0.055809,0.084759,0.095312,0.098700,2.085498,
43,0.358445,0.848861,0.499728,0.303892,0.212719,11.053416,11.053416,0.057208,0.085926,0.096300,0.099231,2.681022,
