n:39 mse_avg:4.12 mse_y:7.20 mse_u:0.95 mse_v:1.13 psnr_avg:41.98 psnr_y:39.56 psnr_u:48.35 psnr_v:47.60 
n:40 mse_avg:3.64 mse_y:6.36 mse_u:0.85 mse_v:0.99 psnr_avg:42.52 psnr_y:40.09 psnr_u:48.86 psnr_v:48.19 
n:41 mse_avg:3.35 mse_y:5.82 mse_u:0.80 mse_v:0.96 psnr_avg:42.88 psnr_y:40.48 psnr_u:49.12 psnr_v:48.29 
n:42 mse_avg:3.35 mse_y:5.83 mse_u:0.81 mse_v:0.94 psnr_avg:42.88 psnr_y:40.47 psnr_u:49.06 psnr_v:48.40 
n:43 mse_avg:3.36 mse_y:5.83 mse_u:0.81 mse_v:0.95 psnr_avg:42.87 psnr_y:40.47 psnr_u:49.04 psnr_v:48.38 
n:44 mse_avg:3.20 mse_y:5.58 mse_u:0.76 mse_v:0.89 psnr_avg:43.08 psnr_y:40.67 psnr_u:49.33 psnr_v:48.63 
n:45 mse_avg:2.93 mse_y:5.08 mse_u:0.73 mse_v:0.85 psnr_avg:43.46 psnr_y:41.08 psnr_u:49.50 psnr_v:48.82 
n:46 mse_avg:3.11 mse_y:5.41 mse_u:0.76 mse_v:0.87 psnr_avg:43.20 psnr_y:40.80 psnr_u:49.35 psnr_v:48.72 
n:47 mse_avg:3.15 mse_y:5.47 mse_u:0.77 mse_v:0.90 psnr_avg:43.15 psnr_y:40.75 psnr_u:49.25 psnr_v:48.59 
n:48 mse_avg:3.03 mse_y:5.25 mse_u:0.74 mse_v:0.86 psnr_avg:43.32 psnr_y:40.93 psnr_u:49.43 psnr_v:48.77 
n:49 mse_avg:2.79 mse_y:4.81 mse_u:0.70 mse_v:0.84 psnr_avg:43.67 psnr_y:41.31 psnr_u:49.71 psnr_v:48.89 
n:50 mse_avg:3.10 mse_y:5.38 mse_u:0.75 mse_v:0.88 psnr_avg:43.22 psnr_y:40.82 psnr_u:49.37 psnr_v:48.68 
n:51 mse_avg:3.30 mse_y:5.74 mse_u:0.77 mse_v:0.95 psnr_avg:42.95 psnr_y:40.54 psnr_u:49.26 psnr_v:48.35 
n:52 mse_avg:3.78 mse_y:6.59 mse_u:0.88 mse_v:1.06 psnr_avg:42.36 psnr_y:39.94 psnr_u:48.66 psnr_v:47.89 
n:53 mse_avg:3.91 mse_y:6.83 mse_u:0.88 mse_v:1.09 psnr_avg:42.21 psnr_y:39.79 psnr_u:48.68 psnr_v:47.74 
n:54 mse_avg:3.88 mse_y:6.79 mse_u:0.87 mse_v:1.07 psnr_avg:42.24 psnr_y:39.81 psnr_u:48.71 psnr_v:47.86 
n:55 mse_avg:4.01 mse_y:7.02 mse_u:0.90 mse_v:1.09 psnr_avg:42.10 psnr_y:39.66 psnr_u:48.57 psnr_v:47.75 
n:56 mse_avg:3.96 mse_y:6.93 mse_u:0.90 mse_v:1.09 psnr_avg:42.15 psnr_y:39.72 psnr_u:48.57 psnr_v:47.75 
n:57 mse_avg:3.98 mse_y:6.95 mse_u:0.92 mse_v:1.11 psnr_avg:42.13 psnr_y:39.71 psnr_u:48.51 psnr_v:47.68 
n:58 mse_avg:3.49 mse_y:6.03 mse_u:0.86 mse_v:1.04 psnr_avg:42.70 psnr_y:40.33 psnr_u:48.79 psnr_v:47.96 
n:59 mse_avg:3.90 mse_y:6.81 mse_u:0.91 mse_v:1.09 psnr_avg:42.22 psnr_y:39.80 psnr_u:48.54 psnr_v:47.76 
n:60 mse_avg:3.90 mse_y:6.82 mse_u:0.90 mse_v:1.08 psnr_avg:42.21 psnr_y:39.79 psnr_u:48.59 psnr_v:47.82 
n:61 mse_avg:3.48 mse_y:6.04 mse_u:0.85 mse_v:1.00 psnr_avg:42.71 psnr_y:40.32 psnr_u:48.84 psnr_v:48.13 
n:62 mse_avg:3.40 mse_y:5.89 mse_u:0.82 mse_v:0.99 psnr_avg:42.82 psnr_y:40.43 psnr_u:48.99 psnr_v:48.16 
n:63 mse_avg:3.35 mse_y:5.82 mse_u:0.82 mse_v:0.95 psnr_avg:42.88 psnr_y:40.49 psnr_u:49.02 psnr_v:48.33 
n:64 mse_avg:3.27 mse_y:5.65 mse_u:0.80 mse_v:0.96 psnr_avg:42.99 psnr_y:40.61 psnr_u:49.10 psnr_v:48.31 
n:65 mse_avg:3.28 mse_y:5.69 mse_u:0.80 mse_v:0.97 psnr_avg:42.97 psnr_y:40.58 psnr_u:49.12 psnr_v:48.28 
n:66 mse_avg:3.12 mse_y:5.40 mse_u:0.76 mse_v:0.91 psnr_avg:43.19 psnr_y:40.81 psnr_u:49.30 psnr_v:48.55 
n:67 mse_avg:3.20 mse_y:5.53 mse_u:0.78 mse_v:0.94 psnr_avg:43.09 psnr_y:40.71 psnr_u:49.19 psnr_v:48.38 
n:68 mse_avg:3.14 mse_y:5.43 mse_u:0.77 mse_v:0.92 psnr_avg:43.17 psnr_y:40.78 psnr_u:49.26 psnr_v:48.51 
n:69 mse_avg:2.93 mse_y:5.08 mse_u:0.71 mse_v:0.86 psnr_avg:43.46 psnr_y:41.07 psnr_u:49.61 psnr_v:48.81 
n:70 mse_avg:3.04 mse_y:5.26 mse_u:0.75 mse_v:0.89 psnr_avg:43.30 psnr_y:40.92 psnr_u:49.39 psnr_v:48.66 
n:71 mse_avg:3.08 mse_y:5.33 mse_u:0.75 mse_v:0.89 psnr_avg:43.25 psnr_y:40.86 psnr_u:49.37 psnr_v:48.65 
n:72 mse_avg:3.00 mse_y:5.18 mse_u:0.76 mse_v:0.89 psnr_avg:43.36 psnr_y:40.99 psnr_u:49.35 psnr_v:48.65 
n:73 mse_avg:2.89 mse_y:4.97 mse_u:0.74 mse_v:0.87 psnr_avg:43.53 psnr_y:41.17 psnr_u:49.42 psnr_v:48.76 
n:74 mse_avg:3.12 mse_y:5.42 mse_u:0.78 mse_v:0.89 psnr_avg:43.18 psnr_y:40.79 psnr_u:49.23 psnr_v:48.64 
n:75 mse_avg:3.19 mse_y:5.53 mse_u:0.78 mse_v:0.91 psnr_avg:43.10 psnr_y:40.71 psnr_u:49.21 psnr_v:48.52 
n:76 mse_avg:3.19 mse_y:5.55 mse_u:0.76 mse_v:0.90 psnr_avg:43.09 psnr_y:40.69 psnr_u:49.31 psnr_v:48.58 
n:77 mse_avg:2.94 mse_y:5.06 mse_u:0.76 mse_v:0.88 psnr_avg:43.45 psnr_y:41.09 psnr_u:49.30 psnr_v:48.68 
n:78 mse_avg:3.65 mse_y:6.37 mse_u:0.87 mse_v:1.01 psnr_avg:42.50 psnr_y:40.09 psnr_u:48.75 psnr_v:48.10 
n:79 mse_avg:4.07 mse_y:7.13 mse_u:0.92 mse_v:1.08 psnr_avg:42.04 psnr_y:39.60 psnr_u:48.48 psnr_v:47.79 
n:80 mse_avg:3.97 mse_y:6.92 mse_u:0.94 mse_v:1.10 psnr_avg:42.15 psnr_y:39.73 psnr_u:48.42 psnr_v:47.71 
n:81 mse_avg:3.62 mse_y:6.27 mse_u:0.90 mse_v:1.03 psnr_avg:42.54 psnr_y:40.15 psnr_u:48.60 psnr_v:47.98 
n:82 mse_avg:3.68 mse_y:6.43 mse_u:0.85 mse_v:1.01 psnr_avg:42.47 psnr_y:40.05 psnr_u:48.82 psnr_v:48.08 
n:83 mse_avg:3.72 mse_y:6.50 mse_u:0.86 mse_v:1.01 psnr_avg:42.43 psnr_y:40.00 psnr_u:48.77 psnr_v:48.11 
n:84 mse_avg:3.63 mse_y:6.33 mse_u:0.85 mse_v:0.99 psnr_avg:42.54 psnr_y:40.12 psnr_u:48.86 psnr_v:48.17 
n:85 mse_avg:3.48 mse_y:6.01 mse_u:0.89 mse_v:1.03 psnr_avg:42.71 psnr_y:40.34 psnr_u:48.66 psnr_v:48.01 
n:86 mse_avg:3.68 mse_y:6.45 mse_u:0.86 mse_v:0.99 psnr_avg:42.47 psnr_y:40.04 psnr_u:48.80 psnr_v:48.17 
n:87 mse_avg:3.97 mse_y:6.93 mse_u:0.92 mse_v:1.08 psnr_avg:42.15 psnr_y:39.72 psnr_u:48.50 psnr_v:47.79 
n:88 mse_avg:4.25 mse_y:7.39 mse_u:1.03 mse_v:1.19 psnr_avg:41.85 psnr_y:39.45 psnr_u:48.02 psnr_v:47.39 
n:89 mse_avg:4.81 mse_y:8.41 mse_u:1.14 mse_v:1.30 psnr_avg:41.31 psnr_y:38.88 psnr_u:47.58 psnr_v:47.00 
n:90 mse_avg:4.75 mse_y:8.34 mse_u:1.08 mse_v:1.26 psnr_avg:41.36 psnr_y:38.92 psnr_u:47.82 psnr_v:47.12 
n:91 mse_avg:5.02 mse_y:8.82 mse_u:1.11 mse_v:1.33 psnr_avg:41.12 psnr_y:38.67 psnr_u:47.66 psnr_v:46.88 
n:92 mse_avg:4.69 mse_y:8.19 mse_u:1.10 mse_v:1.29 psnr_avg:41.42 psnr_y:39.00 psnr_u:47.72 psnr_v:47.02 
n:93 mse_avg:5.06 mse_y:8.84 mse_u:1.19 mse_v:1.38 psnr_avg:41.09 psnr_y:38.67 psnr_u:47.38 psnr_v:46.72 
n:94 mse_avg:4.91 mse_y:8.57 mse_u:1.15 mse_v:1.34 psnr_avg:41.22 psnr_y:38.80 psnr_u:47.54 psnr_v:46.85 
n:95 mse_avg:5.06 mse_y:8.84 mse_u:1.19 mse_v:1.39 psnr_avg:41.09 psnr_y:38.67 psnr_u:47.37 psnr_v:46.70 
