n:39 mse_avg:4.43 mse_y:7.78 mse_u:0.99 mse_v:1.16 psnr_avg:41.67 psnr_y:39.22 psnr_u:48.17 psnr_v:47.50 
n:40 mse_avg:4.39 mse_y:7.73 mse_u:0.97 mse_v:1.13 psnr_avg:41.71 psnr_y:39.25 psnr_u:48.28 psnr_v:47.62 
n:41 mse_avg:4.39 mse_y:7.68 mse_u:1.00 mse_v:1.17 psnr_avg:41.71 psnr_y:39.27 psnr_u:48.13 psnr_v:47.43 
n:42 mse_avg:4.17 mse_y:7.31 mse_u:0.94 mse_v:1.11 psnr_avg:41.93 psnr_y:39.49 psnr_u:48.39 psnr_v:47.69 
n:43 mse_avg:4.31 mse_y:7.57 mse_u:0.98 mse_v:1.14 psnr_avg:41.78 psnr_y:39.34 psnr_u:48.22 psnr_v:47.55 
n:44 mse_avg:4.28 mse_y:7.50 mse_u:0.96 mse_v:1.14 psnr_avg:41.82 psnr_y:39.38 psnr_u:48.29 psnr_v:47.55 
n:45 mse_avg:4.28 mse_y:7.47 mse_u:0.99 mse_v:1.19 psnr_avg:41.82 psnr_y:39.40 psnr_u:48.16 psnr_v:47.37 
n:46 mse_avg:4.02 mse_y:7.02 mse_u:0.94 mse_v:1.11 psnr_avg:42.09 psnr_y:39.67 psnr_u:48.41 psnr_v:47.66 
n:47 mse_avg:4.18 mse_y:7.29 mse_u:0.97 mse_v:1.16 psnr_avg:41.92 psnr_y:39.50 psnr_u:48.26 psnr_v:47.49 
n:48 mse_avg:4.12 mse_y:7.21 mse_u:0.95 mse_v:1.13 psnr_avg:41.98 psnr_y:39.55 psnr_u:48.33 psnr_v:47.61 
n:49 mse_avg:4.23 mse_y:7.39 mse_u:0.98 mse_v:1.18 psnr_avg:41.86 psnr_y:39.44 psnr_u:48.24 psnr_v:47.41 
n:50 mse_avg:4.11 mse_y:7.19 mse_u:0.93 mse_v:1.13 psnr_avg:41.99 psnr_y:39.56 psnr_u:48.43 psnr_v:47.60 
n:51 mse_avg:4.11 mse_y:7.16 mse_u:0.95 mse_v:1.16 psnr_avg:42.00 psnr_y:39.58 psnr_u:48.34 psnr_v:47.50 
n:52 mse_avg:3.81 mse_y:6.64 mse_u:0.89 mse_v:1.08 psnr_avg:42.32 psnr_y:39.91 psnr_u:48.64 psnr_v:47.79 
n:53 mse_avg:3.26 mse_y:5.61 mse_u:0.83 mse_v:1.00 psnr_avg:42.99 psnr_y:40.64 psnr_u:48.94 psnr_v:48.13 
n:54 mse_avg:3.45 mse_y:6.00 mse_u:0.82 mse_v:0.98 psnr_avg:42.75 psnr_y:40.35 psnr_u:48.98 psnr_v:48.20 
n:55 mse_avg:3.36 mse_y:5.82 mse_u:0.82 mse_v:0.99 psnr_avg:42.86 psnr_y:40.48 psnr_u:48.97 psnr_v:48.19 
n:56 mse_avg:3.20 mse_y:5.55 mse_u:0.78 mse_v:0.91 psnr_avg:43.08 psnr_y:40.69 psnr_u:49.21 psnr_v:48.53 
n:57 mse_avg:3.07 mse_y:5.30 mse_u:0.77 mse_v:0.92 psnr_avg:43.25 psnr_y:40.88 psnr_u:49.27 psnr_v:48.48 
n:58 mse_avg:3.37 mse_y:5.85 mse_u:0.83 mse_v:0.97 psnr_avg:42.85 psnr_y:40.46 psnr_u:48.95 psnr_v:48.27 
n:59 mse_avg:3.87 mse_y:6.75 mse_u:0.89 mse_v:1.06 psnr_avg:42.26 psnr_y:39.84 psnr_u:48.63 psnr_v:47.86 
n:60 mse_avg:4.06 mse_y:7.13 mse_u:0.89 mse_v:1.08 psnr_avg:42.05 psnr_y:39.60 psnr_u:48.66 psnr_v:47.79 
n:61 mse_avg:3.63 mse_y:6.32 mse_u:0.86 mse_v:1.02 psnr_avg:42.53 psnr_y:40.12 psnr_u:48.80 psnr_v:48.03 
n:62 mse_avg:3.87 mse_y:6.74 mse_u:0.89 mse_v:1.08 psnr_avg:42.26 psnr_y:39.84 psnr_u:48.62 psnr_v:47.79 
