n:39 mse_avg:577.35 mse_y:1076.25 mse_u:74.40 mse_v:82.51 psnr_avg:20.52 psnr_y:17.81 psnr_u:29.41 psnr_v:28.97 
n:40 mse_avg:591.20 mse_y:1104.21 mse_u:75.18 mse_v:81.21 psnr_avg:20.41 psnr_y:17.70 psnr_u:29.37 psnr_v:29.03 
n:41 mse_avg:496.00 mse_y:917.65 mse_u:73.44 mse_v:75.28 psnr_avg:21.18 psnr_y:18.50 psnr_u:29.47 psnr_v:29.36 
n:42 mse_avg:588.61 mse_y:1099.07 mse_u:76.97 mse_v:79.34 psnr_avg:20.43 psnr_y:17.72 psnr_u:29.27 psnr_v:29.14 
n:43 mse_avg:566.96 mse_y:1056.47 mse_u:76.04 mse_v:78.85 psnr_avg:20.60 psnr_y:17.89 psnr_u:29.32 psnr_v:29.16 
n:44 mse_avg:517.54 mse_y:958.60 mse_u:75.75 mse_v:77.23 psnr_avg:20.99 psnr_y:18.31 psnr_u:29.34 psnr_v:29.25 
n:45 mse_avg:521.02 mse_y:965.26 mse_u:75.77 mse_v:77.77 psnr_avg:20.96 psnr_y:18.28 psnr_u:29.34 psnr_v:29.22 
n:46 mse_avg:450.11 mse_y:827.30 mse_u:73.35 mse_v:72.48 psnr_avg:21.60 psnr_y:18.95 psnr_u:29.48 psnr_v:29.53 
n:47 mse_avg:486.21 mse_y:897.15 mse_u:75.46 mse_v:75.08 psnr_avg:21.26 psnr_y:18.60 psnr_u:29.35 psnr_v:29.38 
n:48 mse_avg:598.47 mse_y:1116.71 mse_u:79.24 mse_v:81.23 psnr_avg:20.36 psnr_y:17.65 psnr_u:29.14 psnr_v:29.03 
n:49 mse_avg:611.39 mse_y:1141.32 mse_u:78.70 mse_v:84.23 psnr_avg:20.27 psnr_y:17.56 psnr_u:29.17 psnr_v:28.88 
n:50 mse_avg:601.76 mse_y:1120.23 mse_u:82.28 mse_v:84.29 psnr_avg:20.34 psnr_y:17.64 psnr_u:28.98 psnr_v:28.87 
n:51 mse_avg:591.61 mse_y:1099.48 mse_u:83.35 mse_v:84.12 psnr_avg:20.41 psnr_y:17.72 psnr_u:28.92 psnr_v:28.88 
n:52 mse_avg:563.44 mse_y:1043.00 mse_u:85.16 mse_v:82.59 psnr_avg:20.62 psnr_y:17.95 psnr_u:28.83 psnr_v:28.96 
n:53 mse_avg:467.13 mse_y:852.91 mse_u:83.94 mse_v:78.79 psnr_avg:21.44 psnr_y:18.82 psnr_u:28.89 psnr_v:29.17 
n:54 mse_avg:540.45 mse_y:996.49 mse_u:86.83 mse_v:82.00 psnr_avg:20.80 psnr_y:18.15 psnr_u:28.74 psnr_v:28.99 
n:55 mse_avg:610.69 mse_y:1137.26 mse_u:86.82 mse_v:81.44 psnr_avg:20.27 psnr_y:17.57 psnr_u:28.74 psnr_v:29.02 
n:56 mse_avg:698.49 mse_y:1312.04 mse_u:87.35 mse_v:82.52 psnr_avg:19.69 psnr_y:16.95 psnr_u:28.72 psnr_v:28.97 
n:57 mse_avg:762.18 mse_y:1440.10 mse_u:85.64 mse_v:82.87 psnr_avg:19.31 psnr_y:16.55 psnr_u:28.80 psnr_v:28.95 
n:58 mse_avg:751.75 mse_y:1419.26 mse_u:84.59 mse_v:83.86 psnr_avg:19.37 psnr_y:16.61 psnr_u:28.86 psnr_v:28.90 
n:59 mse_avg:723.64 mse_y:1361.94 mse_u:85.14 mse_v:85.51 psnr_avg:19.54 psnr_y:16.79 psnr_u:28.83 psnr_v:28.81 
n:60 mse_avg:723.84 mse_y:1362.18 mse_u:85.66 mse_v:85.33 psnr_avg:19.53 psnr_y:16.79 psnr_u:28.80 psnr_v:28.82 
n:61 mse_avg:655.51 mse_y:1227.03 mse_u:82.86 mse_v:85.11 psnr_avg:19.97 psnr_y:17.24 psnr_u:28.95 psnr_v:28.83 
n:62 mse_avg:546.23 mse_y:1013.70 mse_u:79.12 mse_v:78.42 psnr_avg:20.76 psnr_y:18.07 psnr_u:29.15 psnr_v:29.19 
n:63 mse_avg:484.31 mse_y:895.20 mse_u:73.33 mse_v:73.52 psnr_avg:21.28 psnr_y:18.61 psnr_u:29.48 psnr_v:29.47 
n:64 mse_avg:408.56 mse_y:746.86 mse_u:71.72 mse_v:68.81 psnr_avg:22.02 psnr_y:19.40 psnr_u:29.57 psnr_v:29.75 
n:65 mse_avg:325.06 mse_y:583.20 mse_u:70.14 mse_v:63.68 psnr_avg:23.01 psnr_y:20.47 psnr_u:29.67 psnr_v:30.09 
n:66 mse_avg:384.82 mse_y:700.12 mse_u:71.56 mse_v:67.49 psnr_avg:22.28 psnr_y:19.68 psnr_u:29.58 psnr_v:29.84 
n:67 mse_avg:408.53 mse_y:745.75 mse_u:72.23 mse_v:70.41 psnr_avg:22.02 psnr_y:19.40 psnr_u:29.54 psnr_v:29.65 
n:68 mse_avg:439.92 mse_y:804.38 mse_u:74.32 mse_v:76.60 psnr_avg:21.70 psnr_y:19.08 psnr_u:29.42 psnr_v:29.29 
n:69 mse_avg:485.21 mse_y:893.66 mse_u:74.17 mse_v:79.36 psnr_avg:21.27 psnr_y:18.62 psnr_u:29.43 psnr_v:29.13 
n:70 mse_avg:568.81 mse_y:1058.74 mse_u:74.25 mse_v:83.50 psnr_avg:20.58 psnr_y:17.88 psnr_u:29.42 psnr_v:28.91 
n:71 mse_avg:516.94 mse_y:957.87 mse_u:73.39 mse_v:78.64 psnr_avg:21.00 psnr_y:18.32 psnr_u:29.47 psnr_v:29.17 
n:72 mse_avg:549.92 mse_y:1022.77 mse_u:73.95 mse_v:80.17 psnr_avg:20.73 psnr_y:18.03 psnr_u:29.44 psnr_v:29.09 
n:73 mse_avg:620.41 mse_y:1160.41 mse_u:75.89 mse_v:84.92 psnr_avg:20.20 psnr_y:17.48 psnr_u:29.33 psnr_v:28.84 
n:74 mse_avg:593.59 mse_y:1107.86 mse_u:76.37 mse_v:82.26 psnr_avg:20.40 psnr_y:17.69 psnr_u:29.30 psnr_v:28.98 
n:75 mse_avg:556.83 mse_y:1035.10 mse_u:75.45 mse_v:81.67 psnr_avg:20.67 psnr_y:17.98 psnr_u:29.35 psnr_v:29.01 
n:76 mse_avg:571.88 mse_y:1066.06 mse_u:75.65 mse_v:79.75 psnr_avg:20.56 psnr_y:17.85 psnr_u:29.34 psnr_v:29.11 
n:77 mse_avg:572.15 mse_y:1066.52 mse_u:76.33 mse_v:79.23 psnr_avg:20.56 psnr_y:17.85 psnr_u:29.30 psnr_v:29.14 
n:78 mse_avg:539.42 mse_y:1003.77 mse_u:73.72 mse_v:76.44 psnr_avg:20.81 psnr_y:18.11 psnr_u:29.46 psnr_v:29.30 
n:79 mse_avg:482.74 mse_y:895.08 mse_u:71.15 mse_v:69.65 psnr_avg:21.29 psnr_y:18.61 psnr_u:29.61 psnr_v:29.70 
n:80 mse_avg:477.77 mse_y:887.71 mse_u:66.67 mse_v:69.01 psnr_avg:21.34 psnr_y:18.65 psnr_u:29.89 psnr_v:29.74 
n:81 mse_avg:586.66 mse_y:1105.86 mse_u:66.55 mse_v:68.38 psnr_avg:20.45 psnr_y:17.69 psnr_u:29.90 psnr_v:29.78 
n:82 mse_avg:742.31 mse_y:1415.64 mse_u:65.98 mse_v:71.97 psnr_avg:19.42 psnr_y:16.62 psnr_u:29.94 psnr_v:29.56 
n:83 mse_avg:868.45 mse_y:1664.96 mse_u:68.90 mse_v:74.97 psnr_avg:18.74 psnr_y:15.92 psnr_u:29.75 psnr_v:29.38 
n:84 mse_avg:868.32 mse_y:1664.72 mse_u:69.41 mse_v:74.43 psnr_avg:18.74 psnr_y:15.92 psnr_u:29.72 psnr_v:29.41 
n:85 mse_avg:965.45 mse_y:1857.68 mse_u:71.29 mse_v:75.16 psnr_avg:18.28 psnr_y:15.44 psnr_u:29.60 psnr_v:29.37 
n:86 mse_avg:983.70 mse_y:1892.52 mse_u:73.74 mse_v:76.01 psnr_avg:18.20 psnr_y:15.36 psnr_u:29.45 psnr_v:29.32 
n:87 mse_avg:958.74 mse_y:1838.75 mse_u:78.56 mse_v:78.91 psnr_avg:18.31 psnr_y:15.49 psnr_u:29.18 psnr_v:29.16 
n:88 mse_avg:834.88 mse_y:1589.87 mse_u:79.54 mse_v:80.26 psnr_avg:18.91 psnr_y:16.12 psnr_u:29.13 psnr_v:29.09 
n:89 mse_avg:772.80 mse_y:1464.29 mse_u:80.84 mse_v:81.76 psnr_avg:19.25 psnr_y:16.47 psnr_u:29.05 psnr_v:29.01 
n:90 mse_avg:772.09 mse_y:1462.87 mse_u:81.12 mse_v:81.49 psnr_avg:19.25 psnr_y:16.48 psnr_u:29.04 psnr_v:29.02 
n:91 mse_avg:810.60 mse_y:1538.79 mse_u:83.95 mse_v:80.86 psnr_avg:19.04 psnr_y:16.26 psnr_u:28.89 psnr_v:29.05 
n:92 mse_avg:777.31 mse_y:1470.78 mse_u:84.43 mse_v:83.22 psnr_avg:19.22 psnr_y:16.46 psnr_u:28.87 psnr_v:28.93 
n:93 mse_avg:736.71 mse_y:1388.79 mse_u:87.31 mse_v:81.95 psnr_avg:19.46 psnr_y:16.70 psnr_u:28.72 psnr_v:29.00 
n:94 mse_avg:732.54 mse_y:1378.64 mse_u:89.03 mse_v:83.85 psnr_avg:19.48 psnr_y:16.74 psnr_u:28.64 psnr_v:28.90 
n:95 mse_avg:698.24 mse_y:1308.28 mse_u:91.82 mse_v:84.56 psnr_avg:19.69 psnr_y:16.96 psnr_u:28.50 psnr_v:28.86 
n:96 mse_avg:697.99 mse_y:1307.74 mse_u:92.20 mse_v:84.28 psnr_avg:19.69 psnr_y:16.97 psnr_u:28.48 psnr_v:28.87 
n:97 mse_avg:688.02 mse_y:1286.30 mse_u:94.29 mse_v:85.21 psnr_avg:19.75 psnr_y:17.04 psnr_u:28.39 psnr_v:28.83 
n:98 mse_avg:666.73 mse_y:1241.51 mse_u:97.08 mse_v:86.82 psnr_avg:19.89 psnr_y:17.19 psnr_u:28.26 psnr_v:28.74 
n:99 mse_avg:686.56 mse_y:1276.79 mse_u:100.61 mse_v:92.04 psnr_avg:19.76 psnr_y:17.07 psnr_u:28.10 psnr_v:28.49 
n:100 mse_avg:693.59 mse_y:1287.25 mse_u:103.66 mse_v:96.20 psnr_avg:19.72 psnr_y:17.03 psnr_u:27.97 psnr_v:28.30 
n:101 mse_avg:582.46 mse_y:1066.75 mse_u:103.51 mse_v:92.82 psnr_avg:20.48 psnr_y:17.85 psnr_u:27.98 psnr_v:28.45 
n:102 mse_avg:675.92 mse_y:1250.00 mse_u:106.37 mse_v:97.31 psnr_avg:19.83 psnr_y:17.16 psnr_u:27.86 psnr_v:28.25 
n:103 mse_avg:586.76 mse_y:1074.42 mse_u:105.69 mse_v:92.53 psnr_avg:20.45 psnr_y:17.82 psnr_u:27.89 psnr_v:28.47 
n:104 mse_avg:504.69 mse_y:914.06 mse_u:101.70 mse_v:88.95 psnr_avg:21.10 psnr_y:18.52 psnr_u:28.06 psnr_v:28.64 
n:105 mse_avg:575.84 mse_y:1056.50 mse_u:102.21 mse_v:88.14 psnr_avg:20.53 psnr_y:17.89 psnr_u:28.04 psnr_v:28.68 
n:106 mse_avg:618.01 mse_y:1141.25 mse_u:101.66 mse_v:87.87 psnr_avg:20.22 psnr_y:17.56 psnr_u:28.06 psnr_v:28.69 
n:107 mse_avg:613.04 mse_y:1132.55 mse_u:99.52 mse_v:87.53 psnr_avg:20.26 psnr_y:17.59 psnr_u:28.15 psnr_v:28.71 
n:108 mse_avg:484.27 mse_y:878.93 mse_u:97.06 mse_v:82.14 psnr_avg:21.28 psnr_y:18.69 psnr_u:28.26 psnr_v:28.99 
n:109 mse_avg:564.30 mse_y:1036.58 mse_u:97.60 mse_v:86.44 psnr_avg:20.62 psnr_y:17.97 psnr_u:28.24 psnr_v:28.76 
n:110 mse_avg:517.52 mse_y:943.52 mse_u:97.42 mse_v:85.62 psnr_avg:20.99 psnr_y:18.38 psnr_u:28.24 psnr_v:28.80 
n:111 mse_avg:531.02 mse_y:970.59 mse_u:96.51 mse_v:86.39 psnr_avg:20.88 psnr_y:18.26 psnr_u:28.28 psnr_v:28.77 
n:112 mse_avg:568.97 mse_y:1045.18 mse_u:96.59 mse_v:88.95 psnr_avg:20.58 psnr_y:17.94 psnr_u:28.28 psnr_v:28.64 
n:113 mse_avg:496.22 mse_y:902.04 mse_u:95.86 mse_v:84.94 psnr_avg:21.17 psnr_y:18.58 psnr_u:28.31 psnr_v:28.84 
n:114 mse_avg:630.26 mse_y:1164.40 mse_u:99.12 mse_v:93.13 psnr_avg:20.14 psnr_y:17.47 psnr_u:28.17 psnr_v:28.44 
n:115 mse_avg:699.93 mse_y:1301.05 mse_u:100.20 mse_v:97.42 psnr_avg:19.68 psnr_y:16.99 psnr_u:28.12 psnr_v:28.24 
n:116 mse_avg:749.47 mse_y:1395.54 mse_u:103.17 mse_v:103.62 psnr_avg:19.38 psnr_y:16.68 psnr_u:28.00 psnr_v:27.98 
n:117 mse_avg:786.19 mse_y:1465.79 mse_u:105.87 mse_v:107.30 psnr_avg:19.18 psnr_y:16.47 psnr_u:27.88 psnr_v:27.82 
n:118 mse_avg:791.60 mse_y:1474.83 mse_u:108.00 mse_v:108.77 psnr_avg:19.15 psnr_y:16.44 psnr_u:27.80 psnr_v:27.77 
n:119 mse_avg:767.57 mse_y:1427.65 mse_u:108.74 mse_v:106.24 psnr_avg:19.28 psnr_y:16.58 psnr_u:27.77 psnr_v:27.87 
n:120 mse_avg:767.97 mse_y:1428.27 mse_u:109.43 mse_v:105.91 psnr_avg:19.28 psnr_y:16.58 psnr_u:27.74 psnr_v:27.88 
n:121 mse_avg:722.68 mse_y:1339.12 mse_u:107.61 mse_v:104.89 psnr_avg:19.54 psnr_y:16.86 psnr_u:27.81 psnr_v:27.92 
n:122 mse_avg:647.96 mse_y:1189.56 mse_u:109.80 mse_v:102.91 psnr_avg:20.02 psnr_y:17.38 psnr_u:27.72 psnr_v:28.01 
n:123 mse_avg:612.13 mse_y:1117.53 mse_u:109.17 mse_v:104.30 psnr_avg:20.26 psnr_y:17.65 psnr_u:27.75 psnr_v:27.95 
n:124 mse_avg:604.87 mse_y:1103.83 mse_u:108.67 mse_v:103.16 psnr_avg:20.31 psnr_y:17.70 psnr_u:27.77 psnr_v:28.00 
n:125 mse_avg:582.30 mse_y:1062.94 mse_u:104.89 mse_v:98.45 psnr_avg:20.48 psnr_y:17.87 psnr_u:27.92 psnr_v:28.20 
n:126 mse_avg:581.35 mse_y:1060.99 mse_u:105.00 mse_v:98.41 psnr_avg:20.49 psnr_y:17.87 psnr_u:27.92 psnr_v:28.20 
n:127 mse_avg:591.41 mse_y:1088.94 mse_u:104.14 mse_v:83.63 psnr_avg:20.41 psnr_y:17.76 psnr_u:27.95 psnr_v:28.91 
n:128 mse_avg:636.31 mse_y:1183.87 mse_u:103.29 mse_v:74.21 psnr_avg:20.09 psnr_y:17.40 psnr_u:27.99 psnr_v:29.43 
n:129 mse_avg:666.04 mse_y:1244.54 mse_u:103.00 mse_v:72.07 psnr_avg:19.90 psnr_y:17.18 psnr_u:28.00 psnr_v:29.55 
n:130 mse_avg:616.40 mse_y:1143.27 mse_u:102.19 mse_v:76.85 psnr_avg:20.23 psnr_y:17.55 psnr_u:28.04 psnr_v:29.27 
n:131 mse_avg:448.50 mse_y:805.37 mse_u:102.60 mse_v:80.64 psnr_avg:21.61 psnr_y:19.07 psnr_u:28.02 psnr_v:29.07 
n:132 mse_avg:468.23 mse_y:844.14 mse_u:104.06 mse_v:80.58 psnr_avg:21.43 psnr_y:18.87 psnr_u:27.96 psnr_v:29.07 
n:133 mse_avg:629.56 mse_y:1167.08 mse_u:103.34 mse_v:80.77 psnr_avg:20.14 psnr_y:17.46 psnr_u:27.99 psnr_v:29.06 
