n:39 mse_avg:576.98 mse_y:1075.47 mse_u:74.51 mse_v:82.46 psnr_avg:20.52 psnr_y:17.81 psnr_u:29.41 psnr_v:28.97 
n:40 mse_avg:591.06 mse_y:1103.96 mse_u:75.11 mse_v:81.21 psnr_avg:20.41 psnr_y:17.70 psnr_u:29.37 psnr_v:29.03 
n:41 mse_avg:495.87 mse_y:917.43 mse_u:73.39 mse_v:75.23 psnr_avg:21.18 psnr_y:18.51 psnr_u:29.47 psnr_v:29.37 
n:42 mse_avg:588.63 mse_y:1099.05 mse_u:77.00 mse_v:79.42 psnr_avg:20.43 psnr_y:17.72 psnr_u:29.27 psnr_v:29.13 
n:43 mse_avg:566.88 mse_y:1056.36 mse_u:75.87 mse_v:78.94 psnr_avg:20.60 psnr_y:17.89 psnr_u:29.33 psnr_v:29.16 
n:44 mse_avg:517.49 mse_y:958.51 mse_u:75.77 mse_v:77.18 psnr_avg:20.99 psnr_y:18.31 psnr_u:29.34 psnr_v:29.26 
n:45 mse_avg:521.14 mse_y:965.45 mse_u:75.77 mse_v:77.87 psnr_avg:20.96 psnr_y:18.28 psnr_u:29.34 psnr_v:29.22 
n:46 mse_avg:450.34 mse_y:827.81 mse_u:73.35 mse_v:72.40 psnr_avg:21.60 psnr_y:18.95 psnr_u:29.48 psnr_v:29.53 
n:47 mse_avg:485.71 mse_y:896.29 mse_u:75.72 mse_v:74.55 psnr_avg:21.27 psnr_y:18.61 psnr_u:29.34 psnr_v:29.41 
n:48 mse_avg:598.52 mse_y:1116.67 mse_u:79.37 mse_v:81.36 psnr_avg:20.36 psnr_y:17.65 psnr_u:29.13 psnr_v:29.03 
n:49 mse_avg:610.89 mse_y:1140.29 mse_u:78.28 mse_v:84.70 psnr_avg:20.27 psnr_y:17.56 psnr_u:29.19 psnr_v:28.85 
n:50 mse_avg:601.98 mse_y:1120.52 mse_u:82.01 mse_v:84.86 psnr_avg:20.34 psnr_y:17.64 psnr_u:28.99 psnr_v:28.84 
