025-04-03 09:45:33,397 - app.ui.tabs.options_tab - INFO - Populated VMAF model dropdown with 3 models
2025-04-03 09:51:01,917 - app.bookend_alignment - INFO - Frame 0 (t=0.00s) brightness: 126.4
2025-04-03 09:51:01,966 - app.bookend_alignment - INFO - Frame 45 (t=1.50s) brightness: 79.0
2025-04-03 09:51:02,033 - app.bookend_alignment - INFO - Frame 90 (t=3.00s) brightness: 71.1
2025-04-03 09:51:02,096 - app.bookend_alignment - INFO - Frame 135 (t=4.50s) brightness: 79.8
2025-04-03 09:51:02,179 - app.bookend_alignment - INFO - Frame 180 (t=6.01s) brightness: 79.4
2025-04-03 09:51:02,249 - app.bookend_alignment - INFO - Frame 225 (t=7.51s) brightness: 108.8
2025-04-03 09:51:02,299 - app.bookend_alignment - INFO - Frame 270 (t=9.01s) brightness: 79.0
2025-04-03 09:51:02,368 - app.bookend_alignment - INFO - Frame 315 (t=10.51s) brightness: 72.5
2025-04-03 09:51:02,437 - app.bookend_alignment - INFO - Frame 360 (t=12.01s) brightness: 79.7
2025-04-03 09:51:02,518 - app.bookend_alignment - INFO - Frame 405 (t=13.51s) brightness: 80.5
2025-04-03 09:51:02,589 - app.bookend_alignment - INFO - Frame 450 (t=15.02s) brightness: 109.8
2025-04-03 09:51:02,642 - app.bookend_alignment - INFO - Frame 495 (t=16.52s) brightness: 79.8
2025-04-03 09:51:02,718 - app.bookend_alignment - INFO - Frame 540 (t=18.02s) brightness: 73.0
2025-04-03 09:51:02,782 - app.bookend_alignment - INFO - Frame 585 (t=19.52s) brightness: 80.5
2025-04-03 09:51:02,863 - app.bookend_alignment - INFO - Frame 630 (t=21.02s) brightness: 82.0
2025-04-03 09:51:02,937 - app.bookend_alignment - INFO - Frame 675 (t=22.52s) brightness: 109.7
2025-04-03 09:51:02,988 - app.bookend_alignment - INFO - Frame 720 (t=24.02s) brightness: 79.0
2025-04-03 09:51:03,062 - app.bookend_alignment - INFO - Frame 765 (t=25.53s) brightness: 73.4
2025-04-03 09:51:03,133 - app.bookend_alignment - INFO - Frame 810 (t=27.03s) brightness: 81.2
2025-04-03 09:51:03,183 - app.bookend_alignment - INFO - Frame 855 (t=28.53s) brightness: 83.1
2025-04-03 09:51:03,183 - app.bookend_alignment - INFO - Video brightness stats: avg=85.4, std=14.9, max=126.4
2025-04-03 09:51:03,184 - app.bookend_alignment - INFO - Trying whiteness threshold: 200
2025-04-03 09:51:04,464 - app.bookend_alignment - INFO - Detected white bookend: 2.669s - 2.836s (brightness: 254.0, frames: 2)
